ID,SOLVER,FASE,RUN,TIEMPO,Z,STATUS,SUMMARY,NOTES
fase1_cbc_run7,cbc,fase1,7,0.0360000000,8311.0400000000,0,,
fase1_cbc_run8,cbc,fase1,8,0.0360000000,8311.0400000000,0,,
fase1_cbc_run9,cbc,fase1,9,0.0360000000,8311.0400000000,0,,
fase1_cbc_run10,cbc,fase1,10,0.0360000000,8311.0400000000,0,,
fase1_cbc_run11,cbc,fase1,11,0.0360000000,8311.0400000000,0,,
fase1_cbc_run12,cbc,fase1,12,0.0360000000,8311.0400000000,0,,
fase1_cbc_run13,cbc,fase1,13,0.0360000000,8311.0400000000,0,,
fase1_cbc_run14,cbc,fase1,14,0.0360000000,8311.0400000000,0,,
fase1_cbc_run15,cbc,fase1,15,0.0360000000,8311.0400000000,0,,
fase1_cbc_run16,cbc,fase1,16,0.0360000000,8311.0400000000,0,,
fase1_cbc_run17,cbc,fase1,17,0.0360000000,8311.0400000000,0,,
fase1_cbc_run18,cbc,fase1,18,0.0360000000,8311.0400000000,0,,
fase1_cbc_run19,cbc,fase1,19,0.0360000000,8311.0400000000,0,,
fase1_cbc_run20,cbc,fase1,20,0.0360000000,8311.0400000000,0,,
fase1_cbc_run21,cbc,fase1,21,0.0360000000,8311.0400000000,0,,
fase1_cbc_run22,cbc,fase1,22,0.0360000000,8311.0400000000,0,,
fase1_cbc_run23,cbc,fase1,23,0.0360000000,8311.0400000000,0,,
fase1_cbc_run24,cbc,fase1,24,0.0360000000,8311.0400000000,0,,
fase1_cbc_run25,cbc,fase1,25,0.0370000000,8311.0400000000,0,,
fase1_cbc_run26,cbc,fase1,26,0.0360000000,8311.0400000000,0,,
fase1_cbc_run27,cbc,fase1,27,0.0360000000,8311.0400000000,0,,
fase1_cbc_run28,cbc,fase1,28,0.0370000000,8311.0400000000,0,,
fase1_cbc_run29,cbc,fase1,29,0.0400000000,8311.0400000000,0,,
fase1_cbc_run30,cbc,fase1,30,0.0360000000,8311.0400000000,0,,
fase1_cbc_run31,cbc,fase1,31,0.0360000000,8311.0400000000,0,,
fase1_cbc_run32,cbc,fase1,32,0.0360000000,8311.0400000000,0,,
fase1_cbc_run33,cbc,fase1,33,0.0360000000,8311.0400000000,0,,
fase1_cbc_run34,cbc,fase1,34,0.0360000000,8311.0400000000,0,,
fase1_cbc_run35,cbc,fase1,35,0.0360000000,8311.0400000000,0,,
fase1_cbc_run36,cbc,fase1,36,0.0360000000,8311.0400000000,0,,
fase1_cbc_run37,cbc,fase1,37,0.0360000000,8311.0400000000,0,,
fase1_cbc_run38,cbc,fase1,38,0.0360000000,8311.0400000000,0,,
fase1_cbc_run39,cbc,fase1,39,0.0360000000,8311.0400000000,0,,
fase1_cbc_run40,cbc,fase1,40,0.0360000000,8311.0400000000,0,,
fase1_cbc_run41,cbc,fase1,41,0.0360000000,8311.0400000000,0,,
fase1_cbc_run42,cbc,fase1,42,0.0360000000,8311.0400000000,0,,
fase1_cbc_run43,cbc,fase1,43,0.0360000000,8311.0400000000,0,,
fase1_cbc_run44,cbc,fase1,44,0.0360000000,8311.0400000000,0,,
fase1_cbc_run45,cbc,fase1,45,0.0360000000,8311.0400000000,0,,
fase1_cbc_run46,cbc,fase1,46,0.0360000000,8311.0400000000,0,,
fase1_cbc_run47,cbc,fase1,47,0.0360000000,8311.0400000000,0,,
fase1_cbc_run48,cbc,fase1,48,0.0360000000,8311.0400000000,0,,
fase1_cbc_run49,cbc,fase1,49,0.0360000000,8311.0400000000,0,,
fase1_cbc_run50,cbc,fase1,50,0.0360000000,8311.0400000000,0,,
fase2_gurobi_run1,gurobi,fase2,1,0.0010750294,3055.1400000000,2,,
fase2_gurobi_run2,gurobi,fase2,2,0.0007939339,3055.1400000000,2,,
fase2_gurobi_run3,gurobi,fase2,3,0.0007858276,3055.1400000000,2,,
fase2_gurobi_run4,gurobi,fase2,4,0.0007820129,3055.1400000000,2,,
fase2_gurobi_run5,gurobi,fase2,5,0.0007879734,3055.1400000000,2,,
fase2_gurobi_run6,gurobi,fase2,6,0.0007231236,3055.1400000000,2,,
fase2_gurobi_run7,gurobi,fase2,7,0.0007598400,3055.1400000000,2,,
fase2_gurobi_run8,gurobi,fase2,8,0.0007548332,3055.1400000000,2,,
fase2_gurobi_run9,gurobi,fase2,9,0.0007429123,3055.1400000000,2,,
fase2_gurobi_run10,gurobi,fase2,10,0.0007460117,3055.1400000000,2,,
fase2_gurobi_run11,gurobi,fase2,11,0.0007770061,3055.1400000000,2,,
fase2_gurobi_run12,gurobi,fase2,12,0.0007588863,3055.1400000000,2,,
fase2_gurobi_run13,gurobi,fase2,13,0.0007660389,3055.1400000000,2,,
fase2_gurobi_run14,gurobi,fase2,14,0.0007619858,3055.1400000000,2,,
fase2_gurobi_run15,gurobi,fase2,15,0.0007731915,3055.1400000000,2,,
fase2_gurobi_run16,gurobi,fase2,16,0.0006759167,3055.1400000000,2,,
fase2_gurobi_run17,gurobi,fase2,17,0.0006659031,3055.1400000000,2,,
fase2_gurobi_run18,gurobi,fase2,18,0.0006639957,3055.1400000000,2,,
fase2_gurobi_run19,gurobi,fase2,19,0.0007309914,3055.1400000000,2,,
fase2_gurobi_run20,gurobi,fase2,20,0.0006740093,3055.1400000000,2,,
fase2_gurobi_run21,gurobi,fase2,21,0.0006589890,3055.1400000000,2,,
fase2_gurobi_run22,gurobi,fase2,22,0.0006759167,3055.1400000000,2,,
fase2_gurobi_run23,gurobi,fase2,23,0.0007688999,3055.1400000000,2,,
fase2_gurobi_run24,gurobi,fase2,24,0.0006971359,3055.1400000000,2,,
fase2_gurobi_run25,gurobi,fase2,25,0.0007309914,3055.1400000000,2,,
fase2_gurobi_run26,gurobi,fase2,26,0.0007939339,3055.1400000000,2,,
fase2_gurobi_run27,gurobi,fase2,27,0.0008130074,3055.1400000000,2,,
fase2_gurobi_run28,gurobi,fase2,28,0.0008590221,3055.1400000000,2,,
fase2_gurobi_run29,gurobi,fase2,29,0.0008301735,3055.1400000000,2,,
fase2_gurobi_run30,gurobi,fase2,30,0.0007328987,3055.1400000000,2,,
fase2_gurobi_run31,gurobi,fase2,31,0.0006701946,3055.1400000000,2,,
fase2_gurobi_run32,gurobi,fase2,32,0.0007741451,3055.1400000000,2,,
fase2_gurobi_run33,gurobi,fase2,33,0.0007631779,3055.1400000000,2,,
fase2_gurobi_run34,gurobi,fase2,34,0.0007390976,3055.1400000000,2,,
fase2_gurobi_run35,gurobi,fase2,35,0.0007779598,3055.1400000000,2,,
fase2_gurobi_run36,gurobi,fase2,36,0.0006911755,3055.1400000000,2,,
fase2_gurobi_run37,gurobi,fase2,37,0.0007531643,3055.1400000000,2,,
fase2_gurobi_run38,gurobi,fase2,38,0.0007719994,3055.1400000000,2,,
fase2_gurobi_run39,gurobi,fase2,39,0.0007560253,3055.1400000000,2,,
fase2_gurobi_run40,gurobi,fase2,40,0.0007359982,3055.1400000000,2,,
fase2_gurobi_run41,gurobi,fase2,41,0.0006940365,3055.1400000000,2,,
fase2_gurobi_run42,gurobi,fase2,42,0.0007438660,3055.1400000000,2,,
fase2_gurobi_run43,gurobi,fase2,43,0.0007789135,3055.1400000000,2,,
fase2_gurobi_run44,gurobi,fase2,44,0.0007889271,3055.1400000000,2,,
fase2_gurobi_run45,gurobi,fase2,45,0.0007810593,3055.1400000000,2,,
fase2_gurobi_run46,gurobi,fase2,46,0.0006978512,3055.1400000000,2,,
fase2_gurobi_run47,gurobi,fase2,47,0.0007591248,3055.1400000000,2,,
fase2_gurobi_run48,gurobi,fase2,48,0.0007588863,3055.1400000000,2,,
fase2_gurobi_run49,gurobi,fase2,49,0.0007579327,3055.1400000000,2,,
fase2_gurobi_run50,gurobi,fase2,50,0.0007858276,3055.1400000000,2,,
